****************
timestamp: 2024-04-22 22:22:52.870828
initializing training...
========================
available cuda devices:
0: Quadro RTX 6000, mem:22690MB, mpc:72
1: Quadro RTX 6000, mem:22690MB, mpc:72
2: Quadro RTX 6000, mem:22690MB, mpc:72
3: Quadro RTX 6000, mem:22690MB, mpc:72
4: Quadro RTX 6000, mem:22690MB, mpc:72
5: Quadro RTX 6000, mem:22690MB, mpc:72
6: Quadro RTX 6000, mem:22690MB, mpc:72
7: Quadro RTX 6000, mem:22690MB, mpc:72
========================
device: cuda
forcing cuDNN initialization...
nca perception channels: 85
nca parameter count: 13568
nca isotropic type: 3
training new model from scratch...
model: maze16_isoRmat_v0
type: ISO_ROT_MATRIX
channels: 20
hidden: 128
hidden-seed-info: False
batch-size: 4
pool-size: 32
lr: 0.0001>1e-06 w/ 2000 step
seed.shape: [1, 20, 24, 24, 24]
target.shape: [4, 4, 24, 24, 24]
starting training w/ 25001 epochs...
[100/25001]	 0.649it/s	 time: 0:02:34~10:39:06	 loss: 121.863>23.364	 lr: 6e-06 ▲
[21200/25001]	 0.679it/s	 time: 8:40:28~1:33:17	 loss: 15.64>14.608	 lr: 2.86e-06 ▲
[21300/25001]	 0.679it/s	 time: 8:42:54~1:30:49	 loss: 15.422>14.608	 lr: 3.01e-06 ▲
[21400/25001]	 0.679it/s	 time: 8:45:21~1:28:22	 loss: 15.423>14.608	 lr: 3.17e-06 ▲
[21500/25001]	 0.679it/s	 time: 8:47:46~1:25:54	 loss: 15.463>14.608	 lr: 3.32e-06 ▲
[21600/25001]	 0.679it/s	 time: 8:50:09~1:23:26	 loss: 15.44>14.608	 lr: 3.48e-06 ▲
[21700/25001]	 0.679it/s	 time: 8:52:35~1:20:59	 loss: 15.469>14.608	 lr: 3.63e-06 ▲
[21800/25001]	 0.679it/s	 time: 8:54:58~1:18:31	 loss: 15.558>14.608	 lr: 3.79e-06 ▲
[21900/25001]	 0.679it/s	 time: 8:57:23~1:16:04	 loss: 15.492>14.608	 lr: 3.94e-06 ▲
[22000/25001]	 0.679it/s	 time: 8:59:52~1:13:37	 loss: 15.617>14.608	 lr: 4.09e-06 ▲
[22100/25001]	 0.679it/s	 time: 9:02:18~1:11:09	 loss: 15.527>14.608	 lr: 3.94e-06 ▼
[22200/25001]	 0.679it/s	 time: 9:04:45~1:08:42	 loss: 15.505>14.608	 lr: 3.78e-06 ▼
[22300/25001]	 0.679it/s	 time: 9:07:13~1:06:15	 loss: 15.53>14.608	 lr: 3.63e-06 ▼
[22400/25001]	 0.679it/s	 time: 9:09:41~1:03:48	 loss: 15.36>14.608	 lr: 3.47e-06 ▼
[22500/25001]	 0.679it/s	 time: 9:12:06~1:01:20	 loss: 15.415>14.608	 lr: 3.32e-06 ▼
[22600/25001]	 0.679it/s	 time: 9:14:33~0:58:53	 loss: 15.522>14.608	 lr: 3.16e-06 ▼
[22700/25001]	 0.679it/s	 time: 9:16:57~0:56:25	 loss: 15.711>14.608	 lr: 3.01e-06 ▼
[22800/25001]	 0.679it/s	 time: 9:19:22~0:53:58	 loss: 15.495>14.608	 lr: 2.85e-06 ▼
[22900/25001]	 0.679it/s	 time: 9:21:46~0:51:30	 loss: 15.459>14.608	 lr: 2.7e-06 ▼
[23000/25001]	 0.679it/s	 time: 9:24:12~0:49:03	 loss: 15.584>14.608	 lr: 2.55e-06 ▼
[23100/25001]	 0.679it/s	 time: 9:26:37~0:46:36	 loss: 15.502>14.608	 lr: 2.39e-06 ▼
[23200/25001]	 0.679it/s	 time: 9:29:03~0:44:09	 loss: 15.478>14.608	 lr: 2.24e-06 ▼
[23300/25001]	 0.68it/s	 time: 9:31:27~0:41:41	 loss: 15.5>14.608	 lr: 2.08e-06 ▼
[23400/25001]	 0.68it/s	 time: 9:33:55~0:39:14	 loss: 15.444>14.608	 lr: 1.93e-06 ▼
[23500/25001]	 0.68it/s	 time: 9:36:22~0:36:47	 loss: 15.474>14.608	 lr: 1.77e-06 ▼
[23600/25001]	 0.68it/s	 time: 9:38:48~0:34:20	 loss: 15.358>14.608	 lr: 1.62e-06 ▼
[23700/25001]	 0.68it/s	 time: 9:41:12~0:31:52	 loss: 15.381>14.608	 lr: 1.46e-06 ▼
[23800/25001]	 0.68it/s	 time: 9:43:33~0:29:25	 loss: 15.532>14.591	 lr: 1.31e-06 ▼
[23900/25001]	 0.68it/s	 time: 9:45:55~0:26:58	 loss: 15.319>14.591	 lr: 1.15e-06 ▼
[24000/25001]	 0.68it/s	 time: 9:48:20~0:24:30	 loss: 15.228>14.453	 lr: 1e-06 ▼
[24100/25001]	 0.68it/s	 time: 9:50:42~0:22:03	 loss: 15.53>14.453	 lr: 1.08e-06 ▲
[24200/25001]	 0.68it/s	 time: 9:53:07~0:19:36	 loss: 15.345>14.453	 lr: 1.16e-06 ▲
[24300/25001]	 0.68it/s	 time: 9:55:30~0:17:09	 loss: 15.712>14.453	 lr: 1.23e-06 ▲
[24400/25001]	 0.68it/s	 time: 9:57:55~0:14:42	 loss: 15.482>14.453	 lr: 1.31e-06 ▲
[24500/25001]	 0.68it/s	 time: 10:00:20~0:12:15	 loss: 15.304>14.453	 lr: 1.39e-06 ▲
[24600/25001]	 0.68it/s	 time: 10:02:45~0:09:48	 loss: 15.503>14.453	 lr: 1.46e-06 ▲
[24700/25001]	 0.68it/s	 time: 10:05:09~0:07:21	 loss: 15.641>14.453	 lr: 1.54e-06 ▲
[24800/25001]	 0.68it/s	 time: 10:07:32~0:04:53	 loss: 15.348>14.453	 lr: 1.62e-06 ▲
[24900/25001]	 0.68it/s	 time: 10:09:56~0:02:26	 loss: 15.332>14.453	 lr: 1.7e-06 ▲
[25000/25001]	 0.68it/s	 time: 10:12:21~0:00:00	 loss: 15.301>14.453	 lr: 1.77e-06 ▲
model [maze16_isoRmat_v0_cp25000] saved to _checkpoints...
train time: 10:12:21
model [maze16_isoRmat_v0] saved to _models...
elapsed time: 10:12:22
****************
